Temperatur	Gewicht	Zeit
25.9596	241.592	90.4
25.9903	242.645	90.6
25.9781	242.099	90.8
25.9809	242.19	91.0
25.9813	243.373	91.2
25.9777	241.644	91.4
25.9695	241.137	91.6
25.9703	241.839	91.8
25.9834	242.476	92.0
25.9882	240.656	92.2
25.98	241.891	92.4
25.9777	241.046	92.6
25.9876	242.736	92.8
25.9798	240.981	93.0
25.983	240.669	93.2
25.9808	241.774	93.4
25.9954	241.02	93.6
25.9851	241.228	93.8
25.9768	241.579	94.0
25.9983	241.254	94.2
25.9928	242.944	94.4
25.9857	240.825	94.6
25.9893	243.113	94.8
25.9937	241.852	95.0
25.9842	240.11	95.2
25.9762	241.917	95.4
25.9752	241.397	95.6
25.9647	242.073	95.8
25.9722	241.748	96.0
25.9895	242.034	96.2
25.9876	242.892	96.4
25.9724	241.67	96.6
25.9647	240.981	96.8
25.9798	240.123	97.0
25.9838	241.397	97.2
25.9876	242.801	97.4
25.9781	241.735	97.6
25.9872	241.839	97.8
25.9819	241.709	98.0
25.9718	241.488	98.2
25.9922	241.735	98.4
25.9771	241.462	98.6
25.9819	243.074	98.8
25.964	241.189	99.0
25.9766	241.631	99.2
25.9729	241.358	99.4
25.9853	242.905	99.6
25.9794	240.474	99.8
25.9705	242.138	100.0
25.9735	242.476	100.2
25.9708	241.787	100.4
25.9834	242.242	100.6
25.9579	241.631	100.8
25.9703	243.464	101.0
25.9628	243.087	101.2
25.9699	241.553	101.4
25.9886	242.398	101.6
25.9771	243.269	101.8
25.9712	243.009	102.0
25.9766	242.021	102.2
25.9787	242.671	102.4
25.9804	242.749	102.6
25.9825	242.983	102.8
25.9689	242.203	103.0
25.9691	242.268	103.2
25.9686	241.644	103.4
25.9813	240.734	103.6
25.9861	241.293	103.8
25.9722	242.333	104.0
25.9861	242.021	104.2
25.9787	241.657	104.4
25.9787	241.514	104.6
25.9785	242.073	104.8
25.9777	242.567	105.0
25.9653	241.722	105.2
25.9735	241.813	105.4
25.9743	241.787	105.6
25.9546	241.709	105.8
25.9808	242.346	106.0
25.9848	241.839	106.2
25.9596	240.357	106.4
25.9691	241.436	106.6
25.9735	242.411	106.8
25.9686	242.398	107.0
25.9722	239.85	107.2
25.955	240.851	107.4
25.9598	241.306	107.6
25.968	240.513	107.8
25.9686	241.267	108.0
25.9909	239.915	108.2
25.9615	240.435	108.4
25.9653	240.162	108.6
25.9611	240.526	108.8
25.979	242.606	109.0
25.9748	241.267	109.2
25.9699	241.111	109.4
25.9743	241.709	109.6
25.9842	241.618	109.8
25.9964	242.06	110.0
25.9787	241.007	110.2
25.9813	240.669	110.4
25.9752	241.735	110.6
25.9663	241.605	110.8
25.9657	240.877	111.0
25.9785	240.825	111.2
25.9794	242.346	111.4
25.9714	240.474	111.6
25.979	240.266	111.8
25.9733	241.657	112.0
25.9848	241.475	112.2
25.9745	240.773	112.4
25.9663	240.409	112.6
25.9676	241.488	112.8
25.9903	240.773	113.0
25.9596	241.254	113.2
25.9756	241.436	113.4
25.9686	241.228	113.6
25.9762	241.449	113.8
25.9691	240.877	114.0
25.9699	241.423	114.2
25.9712	241.657	114.4
25.98	241.02	114.6
25.9777	241.774	114.8
25.9768	240.37	115.0
25.9691	240.89	115.2
25.9857	241.774	115.4
25.9733	241.501	115.6
25.9708	240.981	115.8
25.9644	240.136	116.0
25.9672	240.474	116.2
25.98	240.682	116.4
25.9569	239.915	116.6
25.9768	240.409	116.8
25.9886	240.357	117.0
25.9689	241.098	117.2
25.9579	241.527	117.4
25.9739	239.59	117.6
25.9798	241.8	117.8
25.964	241.332	118.0
25.9686	241.202	118.2
25.9714	241.163	118.4
25.9739	241.371	118.6
25.9809	240.669	118.8
25.9537	242.086	119.0
25.968	241.371	119.2
25.9794	240.825	119.4
25.9863	240.227	119.6
25.968	241.072	119.8
25.9842	240.162	120.0
25.9813	240.747	120.2
25.9708	240.162	120.4
25.9762	240.747	120.6
25.9954	241.865	120.8
25.9672	240.864	121.0
25.9848	240.591	121.2
25.9775	240.76	121.4
25.979	241.241	121.6
25.9809	240.864	121.8
25.9663	241.54	122.0
25.9937	240.409	122.2
25.9743	240.812	122.4
25.9695	241.189	122.6
25.9829	241.696	122.8
25.9703	240.656	123.0
25.9809	240.942	123.2
25.9914	241.826	123.4
25.9821	240.734	123.6
25.9974	241.41	123.8
25.9951	241.878	124.0
25.9705	241.358	124.2
25.9842	242.177	124.4
25.989	241.137	124.6
25.9663	240.799	124.8
25.9663	241.787	125.0
25.9935	241.267	125.2
25.9819	242.021	125.4
25.9844	241.709	125.6
25.9829	241.007	125.8
25.9708	241.202	126.0
25.9714	240.448	126.2
25.9733	241.93	126.4
25.989	239.681	126.6
25.9848	240.669	126.8
25.979	241.852	127.0
25.9729	241.436	127.2
25.9825	241.28	127.4
25.9729	242.216	127.6
25.9804	240.279	127.8
25.9918	241.28	128.0
25.9768	241.215	128.2
25.9733	242.177	128.4
25.9649	241.423	128.6
25.9708	240.435	128.8
25.9653	240.812	129.0
25.9777	241.956	129.2
25.9691	240.422	129.4
25.9798	241.566	129.6
25.9867	241.644	129.8
25.9787	240.396	130.0
25.9619	241.865	130.2
25.9714	241.241	130.4
25.955	241.865	130.6
25.9686	241.345	130.8
25.9586	240.084	131.0
25.9686	241.215	131.2
25.9922	241.202	131.4
25.9733	241.202	131.6
25.9876	240.825	131.8
25.98	240.773	132.0
25.9756	241.501	132.2
25.9914	241.865	132.4
25.9777	240.097	132.6
25.9851	242.437	132.8
25.9928	241.943	133.0
25.9781	241.631	133.2
25.9729	240.929	133.4
25.989	241.774	133.6
25.9886	240.448	133.8
25.9714	241.215	134.0
26.0015	241.878	134.2
26.0048	241.462	134.4
25.9808	240.721	134.6
25.9914	241.41	134.8
25.989	241.293	135.0
25.9941	241.267	135.2
25.9745	240.799	135.4
25.9745	241.657	135.6
25.9844	241.787	135.8
26.004	242.606	136.0
25.9756	241.176	136.2
25.9758	241.644	136.4
25.9653	241.748	136.6
25.9708	241.163	136.8
25.9649	241.41	137.0
25.9661	240.747	137.2
25.9804	241.111	137.4
25.9825	241.878	137.6
25.9748	241.995	137.8
25.98	241.787	138.0
25.9912	240.578	138.2
25.9918	242.086	138.4
25.9844	240.76	138.6
25.9853	242.411	138.8
25.9924	241.423	139.0
26.0021	242.021	139.2
25.9766	242.073	139.4
25.9905	241.436	139.6
25.9912	242.047	139.8
25.9882	241.163	140.0
25.9798	241.293	140.2
25.988	241.475	140.4
25.9974	241.852	140.6
25.9876	242.554	140.8
25.9781	241.488	141.0
25.9853	241.553	141.2
25.9712	242.515	141.4
25.9745	241.384	141.6
25.9871	241.046	141.8
25.9886	241.605	142.0
26.0048	240.526	142.2
25.9699	242.151	142.4
26.0139	241.41	142.6
25.9819	241.787	142.8
25.9932	241.8	143.0
25.9766	241.501	143.2
26.0029	242.177	143.4
25.9689	240.864	143.6
25.9899	240.409	143.8
25.9844	241.28	144.0
25.9781	241.41	144.2
25.988	241.137	144.4
25.9979	241.007	144.6
25.9853	241.683	144.8
25.989	242.06	145.0
25.9624	241.098	145.2
25.9912	241.605	145.4
25.9893	240.994	145.6
26.008	240.396	145.8
25.9748	240.37	146.0
25.9853	241.553	146.2
25.9996	242.307	146.4
25.9695	241.215	146.6
25.9705	240.955	146.8
25.9647	240.63	147.0
25.9838	241.748	147.2
25.9993	241.15	147.4
25.9871	241.605	147.6
25.9838	240.851	147.8
25.9998	241.436	148.0
25.9758	241.982	148.2
25.9937	240.916	148.4
25.9924	241.982	148.6
25.9932	241.202	148.8
25.9922	241.033	149.0
25.9922	241.735	149.2
25.9861	240.916	149.4
25.9724	239.694	149.6
25.9844	241.852	149.8
25.9848	242.424	150.0
25.9876	241.28	150.2
25.9966	240.747	150.4
25.9924	241.02	150.6
25.9871	242.19	150.8
26.0059	241.397	151.0
26.0159	241.085	151.2
25.9838	241.709	151.4
25.9804	241.618	151.6
25.9977	241.592	151.8
25.9863	241.943	152.0
26.0178	241.605	152.2
26.0029	241.696	152.4
25.9918	241.085	152.6
25.9989	239.681	152.8
25.9838	240.396	153.0
25.9974	240.851	153.2
26.0021	241.163	153.4
25.9775	241.618	153.6
25.9872	240.838	153.8
25.9863	240.539	154.0
25.989	241.618	154.2
25.9974	241.631	154.4
25.9848	240.929	154.6
25.9787	242.008	154.8
25.9941	241.527	155.0
25.9895	241.254	155.2
25.9861	241.059	155.4
25.9935	242.359	155.6
25.9914	240.591	155.8
25.9743	241.254	156.0
25.9903	241.163	156.2
25.9781	242.021	156.4
25.9935	241.488	156.6
25.9945	241.904	156.8
26.0015	240.305	157.0
25.9922	240.513	157.2
25.9857	241.332	157.4
25.9762	241.124	157.6
